date,retail_recreation,grocery_pharmacy,parks,station,workplaces,residential,expected_mobility
2021-01-01,-44.0,-8.0,-38.0,-48.0,-44.0,13.0,-28.166666666666664
2021-01-02,-49.0,-11.0,-47.0,-43.0,-26.0,10.0,-27.666666666666664
2021-01-03,-46.0,-10.0,-45.0,-37.0,-12.0,6.0,-24.0
2021-01-04,-43.0,-4.0,-44.0,-41.0,-32.0,11.0,-25.5
2021-01-05,-43.0,-2.0,-41.0,-41.0,-32.0,11.0,-24.666666666666664
2021-01-06,-42.0,5.0,-39.0,-38.0,-30.0,10.0,-22.333333333333332
2021-01-07,-44.0,-3.0,-43.0,-42.0,-33.0,12.0,-25.5
2021-01-08,-44.0,-2.0,-40.0,-42.0,-32.0,11.0,-24.833333333333332
2021-01-09,-46.0,-8.0,-42.0,-43.0,-28.0,9.0,-26.333333333333332
2021-01-10,-46.0,-9.0,-41.0,-37.0,-12.0,5.0,-23.333333333333332
2021-01-11,-44.0,-3.0,-41.0,-40.0,-33.0,10.0,-25.166666666666664
2021-01-12,-44.0,-1.0,-38.0,-40.0,-32.0,11.0,-24.0
2021-01-13,-45.0,1.0,-40.0,-40.0,-31.0,8.0,-24.5
2021-01-14,-47.0,-10.0,-42.0,-46.0,-38.0,9.0,-29.0
2021-01-15,-48.0,-10.0,-42.0,-46.0,-37.0,8.0,-29.166666666666664
2021-01-16,-48.0,-15.0,-43.0,-43.0,-30.0,6.0,-28.833333333333332
2021-01-17,-48.0,-13.0,-41.0,-40.0,-20.0,3.0,-26.5
2021-01-18,-46.0,-9.0,-42.0,-43.0,-36.0,9.0,-27.833333333333332
2021-01-19,-46.0,-8.0,-38.0,-43.0,-35.0,9.0,-26.833333333333332
2021-01-20,-45.0,-4.0,-39.0,-40.0,-32.0,9.0,-25.166666666666664
2021-01-21,-45.0,-7.0,-39.0,-40.0,-34.0,10.0,-25.833333333333332
2021-01-22,-46.0,-6.0,-39.0,-42.0,-33.0,10.0,-26.0
2021-01-23,-48.0,-12.0,-41.0,-43.0,-31.0,8.0,-27.833333333333332
2021-01-24,-48.0,-11.0,-39.0,-38.0,-15.0,4.0,-24.5
2021-01-25,-44.0,-5.0,-41.0,-41.0,-36.0,9.0,-26.333333333333332
2021-01-26,-46.0,-15.0,-26.0,-60.0,-67.0,16.0,-33.0
2021-01-27,-47.0,-6.0,-42.0,-38.0,-30.0,8.0,-25.833333333333332
2021-01-28,-46.0,-6.0,-41.0,-38.0,-33.0,10.0,-25.666666666666664
2021-01-29,-44.0,0.0,-39.0,-39.0,-31.0,10.0,-23.833333333333332
2021-01-30,-44.0,-2.0,-40.0,-37.0,-23.0,8.0,-23.0
2021-01-31,-44.0,-2.0,-40.0,-32.0,-11.0,5.0,-20.666666666666664
2021-02-01,-41.0,3.0,-39.0,-35.0,-32.0,9.0,-22.5
2021-02-02,-40.0,5.0,-35.0,-34.0,-31.0,9.0,-21.0
2021-02-03,-41.0,9.0,-37.0,-31.0,-29.0,8.0,-20.166666666666664
2021-02-04,-42.0,7.0,-40.0,-35.0,-31.0,9.0,-22.0
2021-02-05,-40.0,10.0,-37.0,-34.0,-29.0,9.0,-20.166666666666664
2021-02-06,-41.0,6.0,-38.0,-30.0,-22.0,7.0,-19.666666666666664
2021-02-07,-39.0,4.0,-33.0,-22.0,-12.0,3.0,-16.5
2021-02-08,-39.0,9.0,-39.0,-32.0,-31.0,8.0,-20.666666666666664
2021-02-09,-39.0,11.0,-35.0,-32.0,-30.0,9.0,-19.333333333333332
2021-02-10,-39.0,12.0,-37.0,-28.0,-28.0,8.0,-18.666666666666664
2021-02-11,-38.0,9.0,-38.0,-30.0,-30.0,9.0,-19.666666666666664
2021-02-12,-38.0,9.0,-39.0,-30.0,-29.0,9.0,-19.666666666666664
2021-02-13,-39.0,2.0,-41.0,-30.0,-28.0,7.0,-21.5
2021-02-14,-35.0,3.0,-35.0,-16.0,-11.0,2.0,-15.333333333333332
2021-02-15,-39.0,1.0,-43.0,-29.0,-32.0,7.0,-22.5
2021-02-16,-41.0,1.0,-40.0,-31.0,-32.0,8.0,-22.5
